lastname,firstname,birthday,type,state,party,website,phone,contact_form
John,Cornyn,TX,Republican,2/2/1952,202-224-2934,http://www.cornyn.senate.gov/public/index.cfm?p=ContactForm,https://www.cornyn.senate.gov
Joe,Barton,TX,Republican,9/15/1949,202-225-2002,https://joebarton.house.gov/contact1/,http://joebarton.house.gov
Kevin,Brady,TX,Republican,4/11/1955,202-225-4901,https://kevinbrady.house.gov/contact-form,http://kevinbrady.house.gov
Michael,Burgess,TX,Republican,12/23/1950,202-225-7772,http://burgess.house.gov/contact/356345.htm,http://burgess.house.gov
John,Carter,TX,Republican,11/6/1941,202-225-3864,https://carter.house.gov/email-john2,http://carter.house.gov
K.,Conaway,TX,Republican,6/11/1948,202-225-3605,https://conaway.house.gov/forms/writeyourrep/default.aspx,http://conaway.house.gov
Henry,Cuellar,TX,Democrat,9/19/1955,202-225-1640,https://cuellar.house.gov/forms/writeyourrep/default.aspx,http://cuellar.house.gov
John,Culberson,TX,Republican,8/24/1956,202-225-2571,https://culbersonforms.house.gov/forms/writeyourrep/default.aspx,http://culberson.house.gov
Lloyd,Doggett,TX,Democrat,10/6/1946,202-225-4865,https://forms.house.gov/doggett/webforms/issue_subscribe.htm,http://doggett.house.gov
Blake,Farenthold,TX,Republican,12/12/1961,202-225-7742,http://farentholdforms.house.gov/contact/email.htm,http://farenthold.house.gov
Bill,Flores,TX,Republican,2/25/1954,202-225-6105,https://billflores.house.gov/contact/,http://flores.house.gov
Louie,Gohmert,TX,Republican,8/18/1953,202-225-3035,http://gohmert.house.gov/contact/,http://gohmert.house.gov
Kay,Granger,TX,Republican,1/18/1943,202-225-5071,http://kaygranger.house.gov/contact-kay/email-me,http://kaygranger.house.gov
Al,Green,TX,Democrat,9/1/1947,202-225-7508,https://algreen.house.gov/contact-me/email-me,http://algreen.house.gov
Gene,Green,TX,Democrat,10/17/1947,202-225-1688,https://green.house.gov/contact-me/email-me,https://green.house.gov
Jeb,Hensarling,TX,Republican,5/29/1957,202-225-3484,https://hensarling.house.gov/contact/email-me,http://hensarling.house.gov
Rubén,Hinojosa,TX,Democrat,8/20/1940,202-225-2531,https://hinojosa.house.gov/contact-me/email-me,http://hinojosa.house.gov
Sheila,Jackson Lee,TX,Democrat,1/12/1950,202-225-3816,http://jacksonlee.house.gov/contact/,http://jacksonlee.house.gov
Eddie,Johnson,TX,Democrat,12/3/1935,202-225-8885,https://ebjohnson.house.gov/contact/email-me,http://ebjohnson.house.gov
Sam,Johnson,TX,Republican,10/11/1930,202-225-4201,http://samjohnson.house.gov/contact/,http://samjohnson.house.gov
Kenny,Marchant,TX,Republican,2/23/1951,202-225-6605,https://marchant.house.gov/contact/contactform.htm,http://marchant.house.gov
Michael,McCaul,TX,Republican,1/14/1962,202-225-2401,https://mccaul.house.gov/contact/email-me,http://mccaul.house.gov
Randy,Neugebauer,TX,Republican,12/24/1949,202-225-4005,https://randy.house.gov/contact-me/email-me,http://randy.house.gov
Pete,Olson,TX,Republican,12/9/1962,202-225-5951,https://forms.house.gov/olson/contact-form.shtml,http://olson.house.gov
Ted,Poe,TX,Republican,9/10/1948,202-225-6565,https://poe.house.gov/index.cfm/contact-form#form_D05B44B5-B782-4DC7-BED6-FF0C90951FFF,https://poe.house.gov
Pete,Sessions,TX,Republican,3/22/1955,202-225-2231,https://sessions.house.gov/index.cfm/contact-form,https://sessions.house.gov
Lamar,Smith,TX,Republican,11/19/1947,202-225-4236,http://lamarsmith.house.gov/contact/email-lamar,http://lamarsmith.house.gov
Mac,Thornberry,TX,Republican,7/15/1958,202-225-3706,https://thornberry.house.gov/forms/writeyourrep/,http://thornberry.house.gov
Ted,Cruz,TX,Republican,12/22/1970,202-224-5922,http://www.cruz.senate.gov/?p=email_senator,https://www.cruz.senate.gov
Randy,Weber,TX,Republican,7/2/1953,202-225-2831,https://weber.house.gov/contact/email-me,http://weber.house.gov
Beto,O'Rourke,TX,Democrat,9/26/1972,202-225-4831,https://orourkeforms.house.gov/forms/writeyourrep/,http://orourke.house.gov
Joaquin,Castro,TX,Democrat,9/16/1974,202-225-3236,https://castro.house.gov/contact/email-me,http://castro.house.gov
Roger,Williams,TX,Republican,9/13/1949,202-225-9896,https://williams.house.gov/contact/email-me,http://williams.house.gov
Marc,Veasey,TX,Democrat,1/3/1971,202-225-9897,https://veaseyforms.house.gov/forms/writeyourrep/,http://veasey.house.gov
Filemon,Vela,TX,Democrat,2/13/1963,202-225-9901,https://forms.house.gov/vela/webforms/email-me.shtml,http://vela.house.gov
John,Ratcliffe,TX,Republican,10/20/1965,202-225-6673,,https://ratcliffe.house.gov
Will,Hurd,TX,Republican,8/19/1977,202-225-4511,,https://hurd.house.gov
Brian,Babin,TX,Republican,3/23/1948,202-225-1555,,http://babin.house.gov
