lastname,firstname,birthday,type,state,party,website,phone,contact_form
Debbie,Stabenow,MI,Democrat,4/29/1950,202-224-4822,http://www.stabenow.senate.gov/?p=contact,http://www.stabenow.senate.gov
Justin,Amash,MI,Republican,4/18/1980,202-225-3831,https://amash.house.gov/contact-me/email-me,http://amash.house.gov
Dan,Benishek,MI,Republican,4/20/1952,202-225-4735,https://benishek.house.gov/contact-me/email-me,http://benishek.house.gov
John,Conyers,MI,Democrat,5/16/1929,202-225-5126,https://conyers.house.gov/index.cfm/online-contact-form,https://conyers.house.gov
Bill,Huizenga,MI,Republican,1/31/1969,202-225-4401,http://huizenga.house.gov/contact/,http://huizenga.house.gov
Sander,Levin,MI,Democrat,9/6/1931,202-225-4961,https://levin.house.gov/contact-me/email-me,http://levin.house.gov
Candice,Miller,MI,Republican,5/7/1954,202-225-2106,http://candicemiller.house.gov/contact,http://candicemiller.house.gov
Gary,Peters,MI,Democrat,12/1/1958,202-224-6221,,http://www.peters.senate.gov
Fred,Upton,MI,Republican,4/23/1953,202-225-3761,http://upton.house.gov/contact/zipauth.htm,http://upton.house.gov
Tim,Walberg,MI,Republican,4/12/1951,202-225-6276,https://walberg.house.gov/contact/contactform.htm,http://walberg.house.gov
Daniel,Kildee,MI,Democrat,8/11/1958,202-225-3611,https://dankildee.house.gov/contact/email-me,http://dankildee.house.gov
John,Moolenaar,MI,Republican,5/8/1961,202-225-3561,,https://moolenaar.house.gov
Mike,Bishop,MI,Republican,3/18/1967,202-225-4872,,https://mikebishop.house.gov
Dave,Trott,MI,Republican,10/16/1960,202-225-8171,,https://trott.house.gov
Debbie,Dingell,MI,Democrat,11/23/1953,202-225-4071,,https://debbiedingell.house.gov
Brenda,Lawrence,MI,Democrat,10/18/1954,202-225-5802,,https://lawrence.house.gov
