lastname,firstname,birthday,type,state,party,website,phone,contact_form
Bob,Corker,TN,Republican,8/24/1952,202-224-3344,http://www.corker.senate.gov/public/index.cfm/emailme,http://www.corker.senate.gov
Lamar,Alexander,TN,Republican,7/3/1940,202-224-4944,http://www.alexander.senate.gov/public/index.cfm?p=Email,http://www.alexander.senate.gov
Diane,Black,TN,Republican,1/16/1951,202-225-4231,https://black.house.gov/contact-me/email-me,http://black.house.gov
Marsha,Blackburn,TN,Republican,6/6/1952,202-225-2811,https://blackburn.house.gov/contactform/email.htm,http://blackburn.house.gov
Steve,Cohen,TN,Democrat,5/24/1949,202-225-3265,https://cohen.house.gov/contact-me/email-me,http://cohen.house.gov
Jim,Cooper,TN,Democrat,6/19/1954,202-225-4311,https://cooper.house.gov/contact/email-me,http://cooper.house.gov
Scott,DesJarlais,TN,Republican,2/21/1964,202-225-6831,http://desjarlais.house.gov/contact/email-me,https://desjarlais.house.gov
John,Duncan,TN,Republican,7/21/1947,202-225-5435,https://duncan.house.gov/contact-me/email-me,http://duncan.house.gov
Stephen,Fincher,TN,Republican,2/7/1973,202-225-4714,https://fincher.house.gov/contact/email-me#.U06uR_ldWVo,http://fincher.house.gov
Charles,Fleischmann,TN,Republican,10/11/1962,202-225-3271,https://fleischmann.house.gov/contact-me/email-me,http://fleischmann.house.gov
David,Roe,TN,Republican,7/21/1945,202-225-6356,https://roe.house.gov/contact/contactform.htm?zip5=37813&zip4=1659,http://roe.house.gov
